State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
California,El Dorado County,191114,193221,456,2051
California,Fresno County,1008966,1013581,2277,8865
California,Glenn County,28893,28805,55,260
California,Humboldt County,136351,136310,347,1536
California,Imperial County,179489,179851,467,1567
California,Inyo County,19023,18970,57,201
California,Kern County,909997,917673,2014,7682
California,Kings County,152627,153443,262,1083
California,Lake County,68174,68766,226,884
California,Lassen County,32719,33159,63,242
California,Los Angeles County,9989165,9829544,20782,82350
California,Madera County,156620,159410,336,1302
California,Marin County,261776,260206,549,2305
California,Mariposa County,17124,17147,50,197
California,Mendocino County,91354,91305,243,1037
California,Merced County,281726,286461,588,2224
California,Modoc County,8658,8661,34,114
California,Mono County,13206,13247,12,49
California,Monterey County,438500,437325,770,3128
California,Napa County,137608,136207,307,1399
California,Nevada County,102199,103487,297,1135
California,Orange County,3184101,3167809,5980,25108
California,Placer County,405741,412300,914,3915
California,Plumas County,19769,19915,43,248
California,Riverside County,2422764,2458395,5593,22167
California,Sacramento County,1586241,1588921,3453,14293
California,San Benito County,64507,66677,124,397
California,San Bernardino County,2182740,2194710,5120,18941
California,San Diego County,3297252,3286069,6314,26463
California,San Francisco County,870014,815201,1648,7135
California,San Joaquin County,780517,789410,1880,7059
California,San Luis Obispo County,282231,283159,687,2671
California,San Mateo County,762453,737888,1292,5754
California,Santa Barbara County,448096,446475,909,3632
California,Santa Clara County,1930598,1885508,2846,13008
California,Santa Cruz County,270353,267792,465,2226
California,Shasta County,181893,182139,633,2480
California,Sierra County,3228,3283,8,40
California,Siskiyou County,43962,44118,142,617
California,Solano County,453274,451716,976,4157
California,Sonoma County,488345,485887,1144,4933
California,Stanislaus County,552710,552999,1346,5094
California,Sutter County,99480,99063,223,964
California,Tehama County,65615,65498,207,768
California,Trinity County,16088,16060,35,178
California,Tulare County,473736,477054,976,3890
California,Tuolumne County,55516,55810,200,694
California,Ventura County,842921,839784,1753,7178
California,Yolo County,216255,216986,366,1563
California,Yuba County,81932,83421,173,674
Colorado,Colorado,5784308,5812069,11835,47988
Colorado,Adams County,520163,522140,1005,3902
Colorado,Alamosa County,16362,16547,35,123
Colorado,Arapahoe County,655112,654900,1258,5228
Colorado,Archuleta County,13424,13790,26,116
Colorado,Baca County,3486,3514,21,56
Colorado,Bent County,5635,5759,19,58
Colorado,Boulder County,330811,329543,550,2319
Colorado,Broomfield County,74513,75325,117,504
Colorado,Chaffee County,19571,20074,52,202
Colorado,Cheyenne County,1736,1707,8,21
Colorado,Clear Creek County,9404,9446,13,63
Colorado,Conejos County,7464,7612,19,73
Colorado,Costilla County,3506,3625,12,27
Colorado,Crowley County,5893,6012,26,59
Colorado,Custer County,4712,5045,14,63
Colorado,Delta County,31232,31661,109,462
Colorado,Denver County,717630,711463,1490,6019
Colorado,Dolores County,2338,2397,5,19
Colorado,Douglas County,360102,368990,465,2065
Colorado,Eagle County,55665,55727,35,163
Colorado,Elbert County,26206,27128,38,200
Colorado,El Paso County,731847,737867,1558,5909
Colorado,Fremont County,48981,49661,152,628
Colorado,Garfield County,61776,62161,100,424
