submission_date,state,tot_death,new_death
1/23/2022,NE,3569,0
5/27/2020,DE,345,1
1/7/2021,MO,7178,49
4/4/2020,VT,20,2
2/14/2022,CA,82026,589
7/18/2021,GU,143,1
4/3/2021,MS,7208,3
11/13/2020,MD,4439,18
4/2/2021,VT,226,1
7/17/2021,MD,9814,3
10/4/2021,DE,1972,0
12/20/2020,NC,7058,64
2/22/2020,MD,0,0
2/7/2020,MT,0,0
2/13/2022,CA,81437,0
5/18/2021,WA,5653,13
2/9/2021,AL,10023,47
3/22/2020,MT,0,0
11/30/2020,MD,4858,24
11/12/2021,VI,84,0
11/5/2020,CA,17833,62
8/12/2021,VI,41,0
4/17/2021,MD,9123,11
1/22/2021,ME,544,4
2/9/2020,NV,0,0
12/22/2021,MT,2890,1
2/23/2020,MT,0,0
6/2/2020,VT,54,0
9/21/2021,NV,6918,38
11/24/2021,CT,8865,12
5/10/2021,AL,11272,5
8/20/2020,WA,1837,15
2/6/2021,IL,21676,73
7/30/2021,MS,7754,20
9/26/2021,CA,68087,0
12/5/2020,NH,559,7
3/31/2020,WI,16,2
11/7/2021,ND,1791,0
6/20/2021,MS,7455,0
8/28/2020,MT,100,2
1/29/2022,IN,21301,0
3/10/2021,VT,210,2
12/2/2020,NV,2201,35
6/21/2021,MD,9758,4
9/1/2020,NV,1342,8
10/24/2021,NC,18247,31
10/15/2020,IN,3862,28
2/27/2020,ID,0,0
11/25/2020,ID,895,21
2/3/2022,ID,4466,13
3/23/2020,DE,0,0
1/20/2022,VI,94,0
7/30/2021,ME,900,1
4/6/2021,MO,8833,4
10/25/2020,GU,75,6
8/30/2021,MI,21548,8
11/11/2021,WI,9657,16
4/17/2020,IN,517,42
12/13/2021,IN,18084,70
5/26/2020,VT,54,0
2/21/2021,MD,8233,26
5/4/2021,NH,1307,2
9/25/2020,ID,458,1
6/9/2020,WA,1176,15
7/25/2020,WI,898,13
1/14/2022,NH,2079,28
1/26/2021,ND,1416,1
1/7/2022,VT,459,0
1/11/2022,NH,2032,5
5/30/2021,CA,62006,7
9/30/2020,WI,1337,27
4/5/2020,IN,128,12
12/17/2020,MS,5049,36
4/10/2021,ME,750,0
6/11/2020,NE,212,17
5/18/2021,WI,7726,14
1/17/2022,WI,11712,63
7/28/2020,MT,52,5
7/19/2020,GU,5,0
1/26/2021,AL,9269,76
9/11/2020,DE,613,0
11/4/2021,WA,8767,40
1/7/2022,CT,9377,96
1/14/2021,DE,995,1
12/21/2021,NH,1868,25
10/25/2021,MS,10024,7
12/3/2020,GU,112,0
4/6/2021,CA,58541,7
9/17/2020,NH,438,0
3/13/2021,IN,12816,22
5/5/2020,ND,25,0
3/14/2020,CT,0,0
11/29/2020,GU,112,0
2/16/2022,NC,22537,44
1/17/2021,NC,9636,101
3/7/2020,DE,0,0
9/27/2021,CA,68362,275
5/22/2020,ID,79,2
6/15/2020,NC,1240,23
11/28/2021,MS,10262,0
11/30/2021,VT,398,3
12/4/2021,MI,26108,0
8/31/2021,ID,2363,32
2/13/2022,NV,9335,0
2/15/2022,MS,11697,45
3/13/2020,CA,4,1
6/4/2021,NV,5600,1
12/12/2021,DE,2218,0
11/2/2021,DE,2095,4
2/16/2022,MO,18332,8
3/25/2021,VI,25,0
5/18/2021,MO,8995,0
9/16/2021,MD,10271,15
7/21/2021,NV,5789,28
4/30/2020,ME,55,2
12/4/2020,ID,1032,18
3/27/2021,GU,134,0
7/22/2020,WA,1468,3
10/15/2020,VT,57,0
6/7/2021,VT,249,0
5/24/2020,NV,410,18
8/16/2021,NV,6190,10
10/28/2020,NV,1766,10
7/5/2021,GU,140,0
12/6/2021,VT,407,1
3/26/2020,MT,1,1
8/26/2021,MD,9988,2
1/5/2022,AL,16819,26
6/1/2020,WI,595,3
5/16/2020,NE,123,4
1/14/2022,MT,2945,10
12/27/2021,WA,9801,17
1/27/2022,IL,34298,167
8/30/2021,VT,268,2
3/17/2022,DE,2812,0
2/9/2021,MS,6826,8
9/1/2021,DE,1887,7
7/18/2021,CA,63598,0
8/3/2020,ND,107,2
11/22/2021,MD,11147,9
9/3/2020,MT,111,0
10/11/2020,VT,57,0
8/20/2020,ND,132,2
7/5/2021,MS,7507,3
3/19/2022,DE,2833,21
10/31/2021,IL,28620,0
3/12/2021,MS,7117,7
1/4/2021,ID,1459,11
5/18/2020,MS,851,14
4/26/2020,IN,893,30
4/28/2021,IN,13286,19
6/5/2020,MS,1077,11
6/10/2020,IL,6273,77
4/8/2022,MO,20141,148
2/3/2020,GU,0,0
1/26/2021,MS,6594,49
12/7/2020,NE,1236,42
8/14/2020,MS,2568,16
1/31/2021,NV,4270,6
8/11/2020,NE,351,11
11/16/2020,WA,2548,29
11/27/2021,ID,3899,8
12/18/2021,GU,270,0
3/1/2020,NV,0,0
3/30/2021,IL,23542,15
6/2/2021,ND,1512,0
1/21/2022,NE,3569,0
10/24/2021,AL,16048,14
12/5/2021,DE,2194,0
10/12/2020,VT,57,0
12/25/2020,MI,13266,100
3/31/2020,GU,2,1
8/4/2020,MD,3652,10
1/18/2022,MI,30869,160
8/4/2020,NC,2220,24
5/2/2020,DE,168,9
1/30/2021,AL,9558,67
11/13/2021,VI,84,0
7/12/2020,MO,1181,6
9/11/2020,WA,1991,6
5/6/2021,VT,244,0
9/24/2020,NH,438,0
11/9/2020,IL,10563,25
1/13/2022,NE,3540,13
1/18/2021,NH,933,0
6/26/2021,ND,1528,0
10/2/2020,VI,20,0
1/16/2022,MT,2945,0
9/20/2020,IN,3487,3
9/2/2021,ID,2379,8
9/27/2021,VT,308,3
5/20/2020,NE,138,6
10/22/2020,ME,146,0
11/1/2021,IN,16729,0
1/1/2022,VT,455,2
3/11/2020,MO,0,0
12/12/2021,NH,1781,0
11/27/2021,ME,1303,0
8/7/2021,MD,9875,4
9/15/2020,ND,177,5
8/26/2020,AL,3238,23
9/11/2020,MD,3954,10
12/11/2021,VI,87,0
10/1/2021,VT,315,2
4/20/2020,GU,5,0
1/19/2022,ID,4292,10
1/24/2021,DE,1041,5
1/12/2022,VI,90,0
1/20/2022,WA,10339,109
9/8/2020,GU,19,5
3/12/2022,IL,37310,0
2/17/2022,DE,2655,1
3/30/2020,NV,17,2
3/20/2022,GU,340,-1
9/17/2020,IN,3460,6
6/20/2020,DE,435,2
6/4/2020,AL,931,12
5/22/2021,IN,13529,6
9/15/2020,MT,140,2
8/10/2021,CT,8297,1
4/6/2022,MS,12410,3
5/31/2021,IL,25223,38
6/17/2021,MT,1651,2
3/2/2020,VT,0,0
6/4/2021,NC,13503,5
2/16/2020,AL,0,0
8/3/2020,ID,200,3
7/11/2021,MT,1673,0
1/6/2022,WA,9974,65
11/12/2021,AL,16287,12
6/29/2020,AL,1321,18
12/22/2020,MS,5230,37
10/25/2021,CA,70884,0
5/8/2021,MD,9442,8
6/16/2021,WI,8041,18
2/24/2021,ND,1441,1
10/14/2020,VT,57,0
8/29/2020,ME,132,0
12/25/2021,ID,4099,0
3/28/2020,ME,1,0
6/24/2020,CT,4287,10
2/7/2021,IN,11781,63
10/24/2021,VT,343,0
3/26/2021,NV,5226,11
3/18/2021,MS,7138,5
3/27/2021,CA,57551,215
5/10/2020,DE,225,1
11/4/2020,GU,83,3
9/15/2020,MD,3974,9
12/30/2021,IN,19037,48
10/21/2020,VI,21,0
3/8/2022,IL,37180,29
12/31/2021,VT,453,3
8/4/2020,MO,1449,19
3/1/2021,NE,2082,0
3/29/2022,NE,4144,0
3/29/2022,AL,19461,2
11/7/2020,AL,4732,17
3/17/2022,NE,4047,1
1/30/2020,WI,0,0
5/9/2020,IN,1482,44
4/25/2020,MT,14,0
8/21/2021,ME,924,1
8/11/2021,WA,6204,17
3/28/2020,VT,12,1
11/13/2020,NV,1893,13
8/13/2020,VT,57,0
6/23/2020,NH,343,4
12/25/2021,CA,75461,0
5/15/2021,CT,8173,0
8/23/2021,WA,6383,9
4/13/2020,IL,794,74
11/7/2020,MO,3800,46
2/21/2021,VI,25,0
11/17/2020,MS,4029,23
2/22/2022,ND,2174,0
4/29/2020,MO,462,15
3/1/2022,MI,34587,82
11/23/2020,WA,2655,36
2/17/2021,IN,12214,19
1/5/2021,WA,3541,59
3/20/2021,MT,1414,5
3/24/2022,ID,4864,4
12/17/2021,MI,27740,70
6/19/2021,MS,7455,0
6/20/2020,GU,5,0
10/20/2020,MI,7493,29
7/22/2021,MI,21155,3
10/23/2021,CT,8739,0
9/15/2021,ND,1584,4
2/9/2020,ME,0,0
12/10/2021,WA,9554,19
8/31/2020,MI,6835,11
3/1/2022,NC,22933,12
2/26/2020,ID,0,0
7/27/2020,IN,2887,3
1/27/2021,IL,20949,96
3/21/2021,NH,1217,0
11/23/2021,CA,73214,15
10/18/2020,AL,4335,22
3/1/2022,ND,2194,2
11/16/2021,ID,3785,33
3/23/2020,MS,86,3
4/13/2022,NC,23334,77
2/2/2020,NV,0,0
2/7/2021,AL,9939,36
5/11/2020,GU,5,0
4/3/2021,WA,5278,0
12/3/2021,IL,29521,44
10/30/2020,MT,364,27
4/2/2021,AL,10990,7
5/25/2021,CT,8221,2
2/14/2020,WA,0,0
1/23/2020,DE,0,0
